dosje	French
egal	French
eklatantan	French
ekran	French
estragon	French
eutanazija	French
ešarpa	French
fagot	French
fon	French
fond	French
fotelja	French
frizer	French
frižider	French
garderoba	French
gepard	French
gram	French
Hag	French
helikopter	French
inženjer	French
kalk	French
karoserija	French
kaskada	French
katren	French
kompanjon	French
koterija	French
kotlet	French
koverta	French
kozerija	French
košenil	French
košmar	French
krakelura	French
krinolina	French
kroasan	French
kroki	French
krom	French
kupon	French
kuverta	French
lakros	French
lažirati	French
lornjet	French
lornjon	French
makro	French
markiz	French
Martinik	French
masakr	French
maser	French
metan	French
milje	French
minaret	French
model	French
morena	French
nivo	French
parirati	French
pat	French
pik	French
pitoreskan	French
pišati	French
plaža	French
pomfrit	French
portfelj	French
prestiž	French
puder	French
racija	French
remi	French
remont	French
revolt	French
saten	French
silueta	French
sindikat	French
sistem	French
siže	French
smoking	French
soldat	French
sos	French
speleolog	French
staž	French
tabla	French
tabure	French
tak	French
teren	French
trotoar	French
trubadur	French
trupa	French
turbina	French
turneja	French
turnir	French
uragan	French
uvertira	French
vitraj	French
vitraž	French
vitrina	French
šampinjon	French
šarm	French
šifra	French
šikana	French
šofer	French
šok	French
žandar	French
žanr	French
žargon	French
žiri	French
ablaut	German
adaptirati	German
adoptirati	German
aktivirati	German
as	German
ašenbeher	German
ažuriranje	German
ažurirati	German
bager	German
bambus	German
benzin	German
beštek	German
bina	German
bircuz	German
blamirati	German
blesirati	German
bunt	German
cajtnot	German
cajtungi	German
canšteher	German
ceh	German
cement	German
centrifuga	German
cigla	German
cilj	German
cimer	German
civil	German
col	German
cug	German
dalmatiner	German
dijamant	German
drek	German
droga	German
fabrika	German
fajn	German
fajrunt	German
faliti	German
farba	German
fascikl	German
feder	German
fen	German
ferije	German
fest	German
filc	German
flajš	German
frajer	German
frizura	German
frtalj	German
fruštik	German
fruštuk	German
fuga	German
furt	German
galge	German
ganc	German
gastarbajter	German
general	German
golman	German
grunt	German
herc	German
humoreska	German
ja	German
kabaret	German
kabel	German
kadet	German
kalendar	German
kapuljača	German
karo	German
katastar	German
kelner	German
kibicirati	German
kibicovati	German
kibla	German
kifla	German
kim	German
kino	German
kič	German
klavir	German
klofati	German
klot	German
klošter	German
knedl	German
kofer	German
kombi	German
kompromis	German
Kopenhagen	German
krafna	German
krah	German
krajcar	German
krajcarblat	German
kramp	German
kraval	German
kravata	German
kredenc	German
kremšnita	German
krezle	German
krigla	German
kriminalistika	German
krizban	German
krokant	German
krtola	German
kufer	German
kugla	German
kupler	German
kupleraj	German
kuplung	German
kurcšlus	German
kuriozitet	German
kurir	German
kurs	German
kvarc	German
kvargl	German
kvač	German
lampa	German
lavina	German
limit	German
lotre	German
lozinka	German
maher	German
major	German
marelica	German
marka	German
maršal	German
mesing	German
metan	German
model	German
mušketa	German
najgvirc	German
ofenziva	German
opstruirati	German
pacijent	German
palačinka	German
papagaj	German
papir	German
par	German
parirati	German
parta	German
paus-papir	German
paušal	German
pedant	German
pehar	German
pelc	German
pendrek	German
penzija	German
perla	German
pik	German
pil	German
pinceta	German
pintar	German
pištolj	German
plajvaz	German
plan	German
planka	German
platfus	German
pomfrit	German
porcelan	German
portal	German
portret	German
potrefiti	German
prefekt	German
prezent	German
preša	German
proba	German
procent	German
prospekt	German
pudl	German
purgar	German
purger	German
pusa	German
putar	German
puter	German
puč	German
pušl	German
racija	German
rajsferšlus	German
ranac	German
rasa	German
režiser	German
ruksak	German
sako	German
salata	German
secirati	German
sic	German
sindikat	German
sorta	German
stiropor	German
studirati	German
supa	German
čep	German
šablon	German
šablona	German
šacovati	German
šaht	German
šakal	German
šihtenšrajber	German
šikana	German
šina	German
šindra	German
šizofrenija	German
škaf	German
šlafhemd	German
bre	Greek
demon	Greek
drum	Greek
grib	Greek
hartija	Greek
heretisanje	Greek
hiljada	Greek
hor	Greek
kaluđer	Greek
litar	Greek
livada	Greek
lumbarda	Greek
metoh	Greek
miris	Greek
mirođija	Greek
pirun	Greek
pita	Greek
primićur	Greek
skuša	Greek
spanać	Greek
astal	Hungarian
atar	Hungarian
baršun	Hungarian
bašta	Hungarian
Beč	Hungarian
bulja	Hungarian
bunda	Hungarian
fanta	Hungarian
fioka	Hungarian
gazda	Hungarian
halas	Hungarian
ham	Hungarian
herceg	Hungarian
kantar	Hungarian
kec	Hungarian
kecelja	Hungarian
kicoš	Hungarian
lepinja	Hungarian
mužar	Hungarian
negve	Hungarian
perec	Hungarian
punđa	Hungarian
soba	Hungarian
Telkes	Hungarian
točir	Hungarian
Uroš	Hungarian
vrganj	Hungarian
đumbir	Hungarian
šaraf	Hungarian
šator	Hungarian
šaš	Hungarian
šogor	Hungarian
špan	Hungarian
šraf	Hungarian
cunami	Japanese
ikebana	Japanese
kana	Japanese
katakana	Japanese
abdicirati	Latin
abdomen	Latin
abrogirati	Latin
abundati	Latin
advent	Latin
Advent	Latin
afirmirati	Latin
Afrika	Latin
akuzativ	Latin
alabaster	Latin
album	Latin
alga	Latin
angina	Latin
anis	Latin
apoteka	Latin
aproksimacija	Latin
august	Latin
autoritet	Latin
ađutant	Latin
bacil	Latin
baraba	Latin
baza	Latin
bula	Latin
centar	Latin
centurija	Latin
centurion	Latin
cisterna	Latin
debil	Latin
deklinacija	Latin
dekret	Latin
dijapazon	Latin
ego	Latin
ekskrement	Latin
fabrika	Latin
falsifikacija	Latin
fetus	Latin
fibula	Latin
figura	Latin
floskula	Latin
forma	Latin
formula	Latin
fragment	Latin
humus	Latin
imperativ	Latin
imperator	Latin
impluvij	Latin
impuls	Latin
incest	Latin
jarbol	Latin
kamin	Latin
kandidat	Latin
kantar	Latin
kolega	Latin
kolodij	Latin
korupcija	Latin
kredo	Latin
krimen	Latin
kripta	Latin
Krist	Latin
krizma	Latin
kruna	Latin
lira	Latin
literatura	Latin
Lucifer	Latin
malj	Latin
medicina	Latin
membrana	Latin
monstrum	Latin
nomenklatura	Latin
nula	Latin
obdukcija	Latin
obligacija	Latin
penis	Latin
plural	Latin
predator	Latin
prepucij	Latin
prezent	Latin
primićur	Latin
privilegij	Latin
privilegija	Latin
probati	Latin
region	Latin
regula	Latin
restaurator	Latin
sakrament	Latin
sedevakantizam	Latin
singular	Latin
status	Latin
statut	Latin
strofa	Latin
sukus	Latin
suma	Latin
sumpor	Latin
supervizija	Latin
talent	Latin
temperatura	Latin
termin	Latin
testis	Latin
traduktologija	Latin
trans-	Latin
translacija	Latin
turbulencija	Latin
tutor	Latin
vagina	Latin
vena	Latin
veteran	Latin
vila	Latin
arbun	Venetian
bašton	Venetian
bira	Venetian
bonaca	Venetian
faca	Venetian
inćun	Venetian
koltrina	Venetian
kroštule	Venetian
kukumar	Venetian
kunić	Venetian
kužina	Venetian
mešetar	Venetian
nona	Venetian
pik	Venetian
pižolot	Venetian
preša	Venetian
pršut	Venetian
sardela	Venetian
sić	Venetian
špada	Venetian
štacun	Venetian
štriga	Venetian
švora	Venetian
aba	Turkish
abaja	Turkish
abdal	Turkish
abdest	Turkish
aber	Turkish
abonos	Turkish
ada	Turkish
Adem	Turkish
adet	Turkish
adžuvan	Turkish
aferim	Turkish
aga	Turkish
agda	Turkish
ahbab	Turkish
ahiret	Turkish
ajam	Turkish
ajde	Turkish
akče	Turkish
akšam	Turkish
ala	Turkish
alat	Turkish
alem	Turkish
alka	Turkish
aman	Turkish
ambar	Turkish
