ah	French
ajour	French
akkolade	French
akkord	French
akkordeon	French
albumin	French
alfons	French
allé	French
amatør	French
ambassade	French
ambulance	French
ananas	French
anciennitet	French
Annette	French
appetit	French
apropos	French
arbitrær	French
arrangement	French
artificiel	French
assemblage	French
assortiment	French
aubergine	French
automobil	French
avancere	French
avantgarde	French
avenue	French
avis	French
bagage	French
bagatel	French
bajonet	French
balkon	French
ballade	French
ballon	French
baluster	French
banan	French
bandage	French
bank	French
barok	French
barre	French
barrikade	French
base	French
bassin	French
batteri	French
beton	French
bibliotek	French
billard	French
billet	French
binær	French
bistro	French
bivuak	French
bizar	French
boheme	French
bombardement	French
bombe	French
bordel	French
boulevard	French
bouquet	French
branche	French
breche	French
brillant	French
brochure	French
brom	French
bronze	French
brunette	French
Bruxelles	French
budget	French
buket	French
bureau	French
bureaukrat	French
buste	French
butik	French
c'est la vie	French
cadeau	French
café	French
café au lait	French
cerebral	French
ceremoni	French
chaiselong	French
champignon	French
chance	French
changere	French
charabanc	French
Charlotte	French
charme	French
charmere	French
chateau	French
chauffør	French
chef	French
chikane	French
chimpanse	French
chok	French
cigaret	French
citron	French
cognac	French
creme	French
creme de la creme	French
cremefraiche	French
daguerreotypi	French
dam	French
dame	French
dans	French
debat	French
debut	French
defaitisme	French
delikat	French
demokrati	French
demokratisk	French
demonstrativ	French
departement	French
depeche	French
deplacement	French
depot	French
deroute	French
desarmere	French
desertør	French
dessert	French
detachement	French
detalje	French
detente	French
devaluere	French
diplom	French
diplomat	French
direktør	French
diskotek	French
disput	French
distance	French
dragé	French
droge	French
dusin	French
egal	French
egalitær	French
eksistentialisme	French
eksperimentere	French
ekspertise	French
ekstrem	French
ekvipage	French
elegant	French
elementær	French
elev	French
emigrere	French
en passant	French
enorm	French
ensilage	French
entrecote	French
entré	French
eskadrille	French
esplanade	French
estragon	French
etage	French
etape	French
etikette	French
fabrik	French
facet	French
facon	French
fagot	French
fars	French
favorisere	French
favorit	French
feminisme	French
femme fatale	French
filet	French
filigran	French
financier	French
finans	French
flakon	French
flamboyant	French
flankere	French
flanør	French
fontæne	French
force majeure	French
franc	French
fregat	French
frikassé	French
fripon	French
frise	French
friture	French
front	French
fuga	French
galleri	French
galoche	French
galop	French
gamache	French
garage	French
garde	French
gele	French
gelé	French
genre	French
gepard	French
gnom	French
grimasse	French
guirlande	French
guvernør	French
hangar	French
Henriette	French
honnør	French
honorær	French
hotel	French
humør	French
ignorere	French
illusion	French
imaginær	French
imposant	French
industri	French
ingeniør	French
interessant	French
jalousi	French
jaloux	French
jasmin	French
jeton	French
jonglør	French
kanalisere	French
kanalje	French
kanapé	French
kanonisere	French
karaffel	French
karakterisere	French
karamel	French
karantæne	French
kaskade	French
kasket	French
kasserolle	French
kavaleri	French
kaviar	French
kokon	French
kombattant	French
komfur	French
kommandør	French
kommode	French
kommunal	French
kommune	French
kompagnon	French
kompliment	French
kompost	French
kompot	French
kompromis	French
komtesse	French
konfiture	French
konservativ	French
konsol	French
kontrol	French
konvoj	French
korps	French
korset	French
korvet	French
kriminel	French
kulør	French
kup	French
kupon	French
kurage	French
kurer	French
kuriøs	French
kusine	French
kutyme	French
kærtegne	French
kø	French
